Dénomination,Regroupement,Type,Libellé,Adresse,Code Postal,Ville,Pays,Longitude,Latitude,Rayon(m)
481 GALVAMETAL,,Client / Chantier,Client,20 RUE CHARLES DE GAULLE,80570,EMBREVILLE,FRA,1.5418,50.0287,220
4828 LEROY MERLIN ISNEAUVILLE,,Client / Chantier,Client,,76230,Isneauville,FRA,1.14366,49.48837,15
4 ACO PRODUITS POLYMERES,,Client / Chantier,Client,51 Chemin des Pieds Corbons,27510,Pressagny-l'Orgueilleux,FRA,1.43639,49.13917,0
4 MURS,,Client / Chantier,Client,ROUTE DE L ESTUAIRE,76700,GONFREVILLE L ORCHER,FRA,0.213,49.4576,220
5110 MILLANCOURT ET NICOLAS,,Client / Chantier,Client,IMPASSE DU CHÃTEAU,80220,GAMACHES,FRA,1.5562,49.9829,220
5152 - SARL PETIT FORESTIER,,Client / Chantier,Client,Avenue générale Leclerc,76122,Le Grand-Quevilly,FRA,1.03564,49.40702,0
5503 BPREX,,Client / Chantier,Client,Rue Pasteur,76550,Offranville,FRA,1.05657,49.86383,0
5507 DIFFUSION PLUS,,Client / Chantier,Client,BP1,27600,ST AUBIN SUR GAILLON,FRA,1.3143,49.1393,220
5509 GYPASS 1,,Client / Chantier,Client,114 Rue de Torqueville,76630,Envermeu,FRA,1.26094,49.89465,0
579 COMPTOIR NOUVEAU,,Client / Chantier,Client,4 RUE DU PONT VERT,27109,Le Vaudreuil,FRA,1.21647,49.26286,2
5835 Frésénius Heudebouville,,Client / Chantier,Client,,27400,Heudebouville,FRA,1.21533,49.19061,15
5835 FRESENIUS KABI FRANCE,,Client / Chantier,Client,350 Allée de la Butte à Colas,27400,Heudebouville,FRA,1.21688,49.19031,0
586 HOLOPHANE,,Client / Chantier,Client,LE PETIT ANDELYS,27700,LES ANDELYS,FRA,1.4019,49.2441,220
5941 LA POSTE PLATEFORME COLIS,,Client / Chantier,Client,PARC DES AFFAIRES,27100,VAL DE REUIL,FRA,0.0,0.0,220
5941 LA POSTE VAL DE RUEIL,,Client / Chantier,Client,,27100,Val-de-Reuil,FRA,1.17889,49.25028,15
5 - BADT levage,,Client / Chantier,Client,AV PHILIPPE LEBON,76220,Le Grand-Quevilly,FRA,1.02898,49.40625,0
6127 MAIRIE DES ANDELYS,,Client / Chantier,Client,55 Rue du Maréchal Leclerc,27700,Les Andelys,FRA,1.40905,49.24311,0
6154 - SHNP GEANT,,Client / Chantier,Client,CENTRE COMMERCIAL DU BOIS CANY,76123,GRAND QUEVILLY,FRA,1.04329,49.41688,0
6181 COCAGNE,,Client / Chantier,Client,PARC D ACTIVITES  DU,76690,LA RUE SAINT PIERRE,FRA,1.2718,49.5684,220
624 PLASTUNI,,Client / Chantier,Client,D153,76550,Offranville,FRA,1.05672,49.89253,0
625 - KIMBERLY CLARK,,Client / Chantier,Client,Rue Antoine-Laurent de Lavoisier,76300,Sotteville-lès-Rouen,FRA,1.11309,49.40645,0
641 AUTOLIV FRANCE,,Client / Chantier,Client,AVENUE DE L EUROPE,76220,GOURNAY EN BRAY,FRA,1.7295,49.4891,220
6501 BRICOMARCHE - BRIO,,Client / Chantier,Client,CD 65,27940,AUBEVOYE,FRA,1.3371,49.1683,220
6686 HBF,,Client / Chantier,Client,VOIE DU FUTUR,27100,VAL-DE-REUIL,FRA,1.1802,49.2561,220
6711 COOPERATIVE AGRICOLE DE LIN,,Client / Chantier,Client,LE VERT GALANT,76690,SAINT ANDRE SUR CAILLY,FRA,1.2236,49.5428,220
6737 - VALLEE DE SEINE BOISSON,,Client / Chantier,Client,CDE GUY DAUPHIN GD QUEVILLY,76800,Saint-Étienne-du-Rouvray,FRA,1.1145,49.3895,220
6783 ALPINE RENAULT,,Client / Chantier,Client,AVENUE DE BREAUTE,76200,DIEPPE,FRA,1.0852,49.9112,220
682 ETALONDES DISTRI DRIVE,,Client / Chantier,Client,19 RUE CHARLES MORIN,76260,EU,FRA,1.397,50.0328,220
6917 STMF,,Client / Chantier,Client,C411,76260,Eu,FRA,1.4293,50.03126,0
703 - LINCOLN ELECTRIC FRANCE,,Client / Chantier,Client,AVENUE FRANKLIN ROOSEVELT,76120,LE GRAND QUEVILLY,FRA,1.02098,49.41245,0
7190 - LITT DIFFUSION,,Client / Chantier,Client,5 AV EMILE BASLY,76120,Le Grand-Quevilly,FRA,1.03345,49.40777,0
719 - LUBRIZOL,,Client / Chantier,Client,,76100,Rouen,FRA,1.059,49.43705,0
719 - LUBRIZOL,,Bureau / Dépôt,Bureau,,76100,Rouen,FRA,1.0872,49.4233,220
719 - LUBRIZOL,,Bureau / Dépôt,Bureau,,76100,Rouen,FRA,1.0545,49.4354,220
731 MANUBOIS,,Client / Chantier,Client,297 Rue d'Auffay,76950,Les Grandes-Ventes,FRA,1.22868,49.78153,0
7361,,Client / Chantier,Client,,,,FRA,0.0,0.0,220
7496 Valdepharm,,Client / Chantier,Client,Voie de la Cornue,27100,Val-de-Reuil,FRA,1.17125,49.24619,15
7496 VALDEPHARM,,Client / Chantier,Client,PARC INDUST D INCARVILLE,27106,VAL DE REUIL,FRA,1.1703,49.2443,220
7541 DIEPP MAREE,,Client / Chantier,Client,52 Quai Gallieni,76200,Dieppe,FRA,1.0822,49.92551,0
7617 SUEZ,,Client / Chantier,Client,,76410,CLEON,FRA,1.0545,49.319,220
76 EXPRESS,,Client / Chantier,Client,Boulevard Lénine,76800,Saint-Étienne-du-Rouvray,FRA,1.11171,49.38686,0
770 - RESSORTS MASSELIN,,Client / Chantier,Client,53 BOULEVARD STANISLAS GIRARDIN,76140,LE PETIT QUEVILLY,FRA,1.06459,49.41237,0
774 MASUREL POLLET,,Client / Chantier,Client,ZI FORGES LES EAUX,76440,LE FOSSE,FRA,1.5575,49.609,220
7904 Varenne gastronomie,,Client / Chantier,Client,Voie Babeure,27100,Val-de-Reuil,FRA,1.17458,49.24519,15
7977 PAL DECAP,,Client / Chantier,Client,Rue de l'Epinoy,80220,Gamaches,FRA,1.5723,49.97726,0
8283  DEFIAL NORMIVAL,,Client / Chantier,Client,47 Rue de la Guillotine,76810,Luneray,FRA,0.91793,49.8214,0
8442 EOL,,Client / Chantier,Client,Rue Lavoisier,76260,Eu,FRA,1.41492,50.05631,0
844 NOVACEL,,Client / Chantier,Client,Rue du Petit Aulnay,76250,Déville-lès-Rouen,FRA,1.0472,49.46089,0
848 - ZIEGLER,,Client / Chantier,Client,Rue du Clos du Tellier,76800,Saint-Étienne-du-Rouvray,FRA,1.11436,49.37676,0
8496 CG CONSEIL,,Client / Chantier,Client,RUELLE DU COIN DES SAULES,27100,VAL DE REUIL,FRA,1.1877,49.2488,220
865 Sanofi site haut,,Client / Chantier,Client,Parc indust. D'incarville,27100,Val-de-Reuil,FRA,1.16906,49.23954,0
8674 DE SUTTER,,Client / Chantier,Client,4 Rue de la Cavée,76730,Biville-la-Rivière,FRA,0.93175,49.77506,0
8685 BRICHEUX,,Client / Chantier,Client,217 Rue de la Petite Heuze,76950,Les Grandes-Ventes,FRA,1.2364,49.7723,200
875,,Client / Chantier,Client,,,,FRA,0.0,0.0,220
8765 - GEFCO,,Client / Chantier,Client,6 Rue Paul Vaillant-Couturier,76120,Le Grand-Quevilly,FRA,1.0479,49.42147,0
8788 - CERP,,Client / Chantier,Client,1 Rue de la Ferme,76800,Saint-Étienne-du-Rouvray,FRA,1.07507,49.38795,0
8825 SIARR,,Client / Chantier,Client,25 Rue du Général de Gaulle,76810,Luneray,FRA,0.91342,49.81524,0
8952 Duhamel,,Client / Chantier,Client,,27100,Val-de-Reuil,FRA,1.1798,49.25262,15
9077 SUCRE SAINT LOUIS,,Client / Chantier,Client,ROUTE DU FOUR A CHAUX,27150,ETREPAGNY,FRA,1.6099,49.298,220
9174 Centre leclerc Louviers,,Client / Chantier,Client,Centre commercial d'incarville,27400,Incarville,FRA,1.18163,49.23634,15
9174 Leclerc Louviers,,Client / Chantier,Client,Rue des Prés,27400,Incarville,FRA,1.18308,49.23592,0
9231 ALKERN BERNIERES,,Client / Chantier,Client,Rue Neuve,27700,Les Trois Lacs,FRA,1.37235,49.24647,0
9696 POLYKOTE,,Client / Chantier,Client,8 Avenue de l'Europe,76220,Gournay-en-Bray,FRA,1.7298,49.4868,220
9857 Bosmy cloture,,Client / Chantier,Client,46 Route d'Herqueville,27430,Andé,FRA,1.24845,49.23563,0
A2MC,,Client / Chantier,Client,HAMEAU DU WUY,76940,LA MAILLERAYE SUR SEINE,FRA,0.0,0.0,220
