label,energy,engine,externalid,label,type,imei,label,manufacturer,model,serialnumber,simnumber,d_comment,dvi_date
CRAFTER 9651,DIESEL,,FL365SD,CRAFTER 9651,LCV,350612077179651,350612077179651,DT,FMT100,1132340072,8944477100002169913,,2023-11-17 14:42:00.000000
CRAFTER 9594,DIESEL,,DJ463TV,CRAFTER 9594,LCV,350612077179594,350612077179594,DT,FMT100,1132339871,8944477100002169921,,2023-11-17 14:48:00.000000
3008 6831,DIESEL,,FV273HB,3008 6831,PC,350612077166831,350612077166831,DT,FMT100,1132339559,8944477100002169939,,2023-11-17 15:03:00.000000
A6 9032,GAZ+ELEC HNR,,GF509HL,A6 9032,PC,350612077179032,350612077179032,DT,FMT100,1132340617,8944477100002170002,,2023-11-17 15:10:00.000000
CRAFTER 8095,DIESEL,,FK460VM,CRAFTER 8095,LCV,350612073588095,350612073588095,DT,FMT100,1131765046,8944477100002171547,,2023-12-05 08:28:00.000000
MASTER 4417,DIESEL,,FW328HL,MASTER 4417,LCV,350612076894417,350612076894417,DT,FMT100,1132559736,8944477100002171554,,2023-12-05 08:42:00.000000
SPRINTER 4664,DIESEL,,DH342NC,SPRINTER 4664,LCV,350612076894664,350612076894664,DT,FMT100,1132559737,8944477100002173279,,2023-12-05 08:51:00.000000
MEGANE 4656,DIESEL,,GP060EM,MEGANE 4656,PC,350612076894656,350612076894656,DT,FMT100,1132559744,8944477100002173261,,2023-12-05 08:58:00.000000
MASTER 0537,DIESEL,,FW239NR,MASTER 0537,LCV,350612076900537,350612076900537,DT,FMT100,1132560258,8944477100002170226,,2023-12-05 09:05:00.000000
MASTER 9499,DIESEL,,FK041XF,MASTER 9499,LCV,350612073589499,350612073589499,DT,FMT100,1131765215,8944477100002173238,,2023-12-05 09:16:00.000000
CRAFTER 8103,DIESEL,,GF294GV,CRAFTER 8103,LCV,350612073588103,350612073588103,DT,FMT100,1131765048,8944477100002173220,,2023-12-05 09:25:00.000000
CRAFTER 4565,DIESEL,,GE519XC,CRAFTER 4565,LCV,350612076894565,350612076894565,DT,FMT100,1132559738,8944477100002173246,,2023-12-05 09:31:00.000000
BERLINGO 0636,DIESEL,,GN733JW,BERLINGO 0636,LCV,350612076900636,350612076900636,DT,FMT100,1132560268,8944477100002170176,,2023-12-05 09:38:00.000000
CLIO 1352,DIESEL,,EZ897ZD,CLIO 1352,PC,350612076901352,350612076901352,DT,FMT100,1132559732,8944477100002171596,,2023-12-05 09:53:00.000000
CADDY 4409,DIESEL,,FB275FV,CADDY 4409,LCV,350612076894409,350612076894409,DT,FMT100,1132559735,8944477100002171604,,2023-12-05 09:59:00.000000
MASTER 7285,DIESEL,,DL270VY,MASTER 7285,LCV,350612077237285,350612077237285,DT,FMT100,1132561040,8944477100002171588,,2023-12-05 10:20:00.000000
2008 8269,DIESEL,,GH174BN,2008 8269,PC,350612073588269,350612073588269,DT,FMT100,1131765052,8944477100002171570,,2023-12-05 10:32:00.000000
308 3328,DIESEL,,GM701KS,308 3328,PC,350612073583328,350612073583328,DT,FMT100,1131769627,8944477100002170168,,2023-12-05 10:40:00.000000
3008 0275,DIESEL,,GM364KS,3008 0275,PC,350612077610275,350612077610275,DT,FMT100,1132560802,8944477100002171471,,2023-12-05 10:47:00.000000
A4 3252,GAZ+ELEC HNR,,GD309NE,A4 3252,PC,350612073583252,350612073583252,DT,FMT100,1131769630,8944477100002173287,,2023-12-05 10:59:00.000000
208 3427,DIESEL,,GK217RC,208 3427,PC,350612073583427,350612073583427,DT,FMT100,1131769636,8944477100002170150,,2023-12-05 11:09:00.000000
Q5 8178,HYBRID,,GC234HY,Q5 8178,PC,350612073588178,350612073588178,DT,FMT100,1131765045,8944477100002171521,,2023-12-05 11:16:00.000000
508 2766,DIESEL,,FX486EB,508 2766,PC,350612073592766,350612073592766,DT,FMT100,1131765059,8944477100002171562,,2023-12-05 11:29:00.000000
CRAFTER 4425,DIESEL,,FN421CH,CRAFTER 4425,LCV,350612076894425,350612076894425,DT,FMT100,1132559730,8944477100002171620,,2023-12-06 08:18:00.000000
CRAFTER 5754,DIESEL,,GR326QG,CRAFTER 5754,LCV,350612075545754,350612075545754,DT,FMT100,1131607687,8944477100002173394,,2023-12-06 08:26:00.000000
CRAFTER 4508,DIESEL,,GF658DR,CRAFTER 4508,LCV,350612076894508,350612076894508,DT,FMT100,1132559734,8944477100002171612,,2023-12-06 08:34:00.000000
CRAFTER 9358,DIESEL,,GF659DR,CRAFTER 9358,LCV,350612073589358,350612073589358,DT,FMT100,1131765221,8944477100002173212,,2023-12-06 08:43:00.000000
CRAFTER 1436,DIESEL,,GC577TP,CRAFTER 1436,LCV,350612076901436,350612076901436,DT,FMT100,1132559731,8944477100002173253,,2023-12-06 08:50:00.000000
CRAFTER 5846,DIESEL,,GJ185DL,CRAFTER 5846,LCV,350612075545846,350612075545846,DT,FMT100,1131607689,8944477100002173402,,2023-12-06 08:57:00.000000
SPRINTER 3377,DIESEL,,EK810AD,SPRINTER 3377,LCV,350612073583377,350612073583377,DT,FMT100,1131769664,8944477100002173386,,2023-12-06 09:14:00.000000
SPRINTER 5838,DIESEL,,CA797RY,SPRINTER 5838,LCV,350612075545838,350612075545838,DT,FMT100,1131607688,8944477100002173345,,2023-12-06 09:24:00.000000
MASTER 9271,DIESEL,,FK987DT,MASTER 9271,LCV,350612077179271,350612077179271,DT,FMT100,1132340620,8944477100002173352,,2023-12-06 09:36:00.000000
MASTER 7840,DIESEL,,DW369EF,MASTER 7840,LCV,350612073587840,350612073587840,DT,FMT100,1131765292,8944477100002170580,,2023-12-06 09:46:00.000000
CRAFTER 7907,DIESEL,,GE524XC,CRAFTER 7907,LCV,350612073587907,350612073587907,DT,FMT100,1131765282,8944477100002170648,,2023-12-06 10:00:00.000000
JUMPY 6312,DIESEL,,GN501LL,JUMPY 6312,LCV,350612073596312,350612073596312,DT,FMT100,1131765332,8944477100002168444,,2023-12-06 10:09:00.000000
208 2923,DIESEL,,FQ958KY,208 2923,PC,350612073592923,350612073592923,DT,FMT100,1131765057,8944477100002173162,,2023-12-06 10:19:00.000000
208 9438,DIESEL,,GF098HJ,208 9438,PC,350612077179438,350612077179438,DT,FMT100,1132340598,8944477100002170598,,2023-12-06 10:26:00.000000
5008 6577,DIESEL,,GF325QV,5008 6577,PC,350612073596577,350612073596577,DT,FMT100,1131765339,8944477100002168451,,2023-12-06 10:35:00.000000
GOLF 9502,DIESEL,,FZ777NE,GOLF 9502,PC,350612077599502,350612077599502,DT,FMT100,1132560888,8944477100002170754,,2023-12-06 10:41:00.000000
CADDY 9270,DIESEL,,EM254RM,CADDY 9270,LCV,350612077599270,350612077599270,DT,FMT100,1132560893,8944477100002170713,,2023-12-06 10:47:00.000000
Q5 5267,HYBRID,,GK330GD,Q5 5267,PC,350612077605267,350612077605267,DT,FMT100,1132560860,8944477100002172230,,2023-12-06 10:54:00.000000
CRAFTER 3012,DIESEL,,FX538ZK,CRAFTER 3012,LCV,350612073593012,350612073593012,DT,FMT100,1131765100,8944477100002168428,,2023-12-06 11:06:00.000000
CRAFTER 9379,DIESEL,,FK459VM,CRAFTER 9379,LCV,350612077599379,350612077599379,DT,FMT100,1132560892,8944477100002172271,,2023-12-06 11:13:00.000000
PARTNER 3281,DIESEL,,GR144YZ,PARTNER 3281,LCV,350612077593281,350612077593281,DT,FMT100,1132560911,8944477100002172248,,2023-12-06 11:20:00.000000
CRAFTER 9494,DIESEL,,EN772QY,CRAFTER 9494,LCV,350612077599494,350612077599494,DT,FMT100,1132560885,8944477100002172263,,2023-12-06 11:29:00.000000
SUPERB 5051,DIESEL,,GL202BL,SUPERB 5051,PC,350612077605051,350612077605051,DT,FMT100,1132560869,8944477100002172255,,2023-12-06 11:43:00.000000
CRAFTER 9731,DIESEL,,GF293GV,CRAFTER 9731,LCV,350612077609731,350612077609731,DT,FMT100,1132560811,8944477100002172180,,2023-12-07 08:14:00.000000
MASTER 3208,DIESEL,,DW917BL,MASTER 3208,LCV,350612077593208,350612077593208,DT,FMT100,1132560906,8944477100002172172,,2023-12-07 08:22:00.000000
SPRINTER 9411,DIESEL,,GC519LF,SPRINTER 9411,LCV,350612077599411,350612077599411,DT,FMT100,1132560886,8944477100002170721,,2023-12-07 08:29:00.000000
CRAFTER 9262,DIESEL,,GE512XC,CRAFTER 9262,LCV,350612077599262,350612077599262,DT,FMT100,1132560890,8944477100002172222,,2023-12-07 08:37:00.000000
JUMPY 5184,DIESEL,,GG279ZT,JUMPY 5184,LCV,350612077605184,350612077605184,DT,FMT100,1132560855,8944477100002172206,,2023-12-07 09:14:00.000000
508 3497,DIESEL,,GB428MM,508 3497,PC,350612077593497,350612077593497,DT,FMT100,1132560929,8944477100002172198,,2023-12-07 09:25:00.000000
XC40 3216,HYBRID,,GR756HS,XC40 3216,PC,350612077593216,350612077593216,DT,FMT100,1132560914,8944477100002170838,,2023-12-08 08:18:00.000000
PASSAT 8025,DIESEL,,GL494CA,PASSAT 8025,PC,350612077598025,350612077598025,DT,FMT100,1132560987,8944477100002170853,,2023-12-08 08:27:00.000000
A6 9288,GAZ+ELEC HNR,,FY176AH,A6 9288,PC,350612077599288,350612077599288,DT,FMT100,1132560894,8944477100002170861,,2023-12-08 08:34:00.000000
DS7 3273,DIESEL,,FY724BD,DS7 3273,PC,350612077593273,350612077593273,DT,FMT100,1132560908,8944477100002170895,,2023-12-08 08:42:00.000000
CRAFTER 5127,DIESEL,,GE516XC,CRAFTER 5127,LCV,350612077605127,350612077605127,DT,FMT100,1132560866,8944477100002170739,,2023-12-08 08:50:00.000000
CRAFTER 3570,DIESEL,,FA766YC,CRAFTER 3570,LCV,350612077593570,350612077593570,DT,FMT100,1132560928,8944477100002170911,,2023-12-08 09:04:00.000000
KANGOO 9007,DIESEL,,GS469JE,KANGOO 9007,LCV,350612077599007,350612077599007,DT,FMT100,1132560819,8944477100002170762,,2023-12-08 09:10:00.000000
CRAFTER 9429,DIESEL,,GL593XT,CRAFTER 9429,LCV,350612077599429,350612077599429,DT,FMT100,1132560889,8944477100002170747,,2023-12-08 09:15:00.000000
BOXER 9574,DIESEL,,GG156AE,BOXER 9574,LCV,350612077609574,350612077609574,DT,FMT100,1132560795,8944477100002170846,,2023-12-08 09:24:00.000000
SPRINTER 3299,DIESEL,,EK666PF,SPRINTER 3299,LCV,350612077593299,350612077593299,DT,FMT100,1132560913,8944477100002172214,,2023-12-08 09:38:00.000000
MASTER 6061,DIESEL,,DJ331QS,MASTER 6061,LCV,350612077176061,350612077176061,DT,FMT100,1132336178,8944477100002170655,,2023-12-08 09:46:00.000000
C4 8054,DIESEL,,GM653VH,C4 8054,PC,350612077208054,350612077208054,DT,FMT100,1132561644,8944477100002171281,,2023-12-08 09:52:00.000000
PASSAT 0776,DIESEL,,GL912AY,PASSAT 0776,PC,350612076900776,350612076900776,DT,FMT100,1132560261,8944477100002170283,,2024-01-08 09:28:00.000000
CRAFTER 0203,DIESEL,,GB377SX,CRAFTER 0203,LCV,350612075520203,350612075520203,DT,FMT100,1131614324,8944477100002169228,,2024-01-08 09:48:00.000000
CRAFTER 2480,DIESEL,,EV194FL,CRAFTER 2480,LCV,350612075522480,350612075522480,DT,FMT100,1131612682,8944477100002169186,,2024-01-08 10:10:00.000000
CRAFTER 5994,DIESEL,,EV089FL,CRAFTER 5994,LCV,350612075545994,350612075545994,DT,FMT100,1131607691,8944477100002169327,,2024-01-08 10:32:00.000000
CRAFTER 3229,DIESEL,,GR014RJ,CRAFTER 3229,LCV,350612073583229,350612073583229,DT,FMT100,1131769662,8944477100002169293,,2024-01-08 10:49:00.000000
CRAFTER 5794,DIESEL,,FP170TZ,CRAFTER 5794,LCV,350612073585794,350612073585794,DT,FMT100,1131769669,8944477100002169285,,2024-01-08 11:05:00.000000
PARTNER 6095,DIESEL,,FJ159RX,PARTNER 6095,LCV,350612078736095,350612078736095,DT,FMT100,1132560197,8944477100002167461,,2024-01-08 11:49:00.000000
PARTNER 1691,DIESEL,,GQ904WQ,PARTNER 1691,LCV,350612078721691,350612078721691,DT,FMT100,1132560626,8944477100002167479,,2024-01-08 12:06:00.000000
BERLINGO 9994,DIESEL,,FY071DJ,BERLINGO 9994,LCV,350612075499994,350612075499994,DT,FMT100,1131589142,8944477100002167529,,2024-01-08 12:23:00.000000
PARTNER 5964,DIESEL,,EV192FM,PARTNER 5964,LCV,350612078735964,350612078735964,DT,FMT100,1132560205,8944477100002167537,,2024-01-08 13:05:00.000000
MASTER 7832,DIESEL,,GS210ZZ,MASTER 7832,LCV,350612073587832,350612073587832,DT,FMT100,1131765290,8944477100002171273,,2024-01-09 12:00:00.000000
CRAFTER 9354,DIESEL,,GS280SA,CRAFTER 9354,LCV,350612077179354,350612077179354,DT,FMT100,1132340592,8944477100002171158,,2024-01-09 12:00:00.000000
MASTER 0685,DIESEL,,DW002CD,MASTER 0685,LCV,350612076900685,350612076900685,DT,FMT100,1132560255,8944477100002171075,,2024-01-09 12:00:00.000000
CRAFTER 6411,DIESEL,,GS680XZ,CRAFTER 6411,LCV,350612073596411,350612073596411,DT,FMT100,1131765341,8944477100002168709,,2024-01-09 12:00:00.000000
MASTER 6569,DIESEL,,GS188ZZ,MASTER 6569,LCV,350612073596569,350612073596569,DT,FMT100,1131765337,8944477100002168691,,2024-01-09 12:00:00.000000
NT400 9577,DIESEL,,DV968WN,NT400 9577,OGV1,350612077599577,350612077599577,DT,FMT100,1132560957,8944477100002170960,,2024-01-24 12:00:00.000000
PARTNER 6335,DIESEL,,GG919XJ,PARTNER 6335,LCV,350612078736335,350612078736335,DT,FMT100,1132560761,8944477100002170234,,2024-01-24 12:00:00.000000
SPRINTER 9032,DIESEL,,FJ982RA,SPRINTER 9032,LCV,350612078739032,350612078739032,DT,FMT100,1132560754,8944477100002170218,,2024-01-30 12:00:00.000000
SPRINTER 6079,DIESEL,,EB435BM,SPRINTER 6079,LCV,350612077176079,350612077176079,DT,FMT100,1132336186,8944477100002171026,,2024-01-24 12:00:00.000000
